category,Temperature,Pressure,Altitude,RSSI
Thu Jun 22 20:22:25 2023,19.6,95395,505.32,-36
Thu Jun 22 20:22:33 2023,19.5,95401,505.23,-34
Thu Jun 22 20:22:42 2023,19.5,95396,505.67,-30
Thu Jun 22 20:22:46 2023,19.6,95401,505.32,-32
Thu Jun 22 20:22:51 2023,19.6,95396,505.49,-33
Thu Jun 22 20:22:59 2023,19.6,95394,505.67,-33
Thu Jun 22 20:23:07 2023,19.6,95384,505.32,-33
Thu Jun 22 20:23:12 2023,19.6,95393,505.67,-33
Thu Jun 22 20:23:17 2023,19.6,95394,505.84,-34
Thu Jun 22 20:23:21 2023,19.6,95395,506.19,-34